	num_particles	process_std	vel_std	measurement_std	res_g	mean_test_score	mean_score_time
0	800	0.013818307355936893	0.18707974275841138	0.014892855259670252	0.8245657418202283	-0.00039347946501939096	0.00036144256591796875
1	2500	0.01855231582996268	0.14592803910549865	0.01679973819946276	0.9975608906101467	-0.00039347946501939096	0.0002751350402832031
2	2500	0.01567838355386565	0.14901291493306268	0.01315581649609281	0.7919342121674716	-0.00039347946501939096	0.00025582313537597656
3	800	0.02677134231372977	0.058970595463226694	0.014418201943840902	0.7230480090545889	-0.00039347946501939096	0.00023484230041503906
4	600	0.021577662223494772	0.3345636090833151	0.014972883685582479	0.8817577637860381	-0.00039347946501939096	0.0002467632293701172
5	600	0.025250049767608855	0.44524241034730244	0.020277230924778664	0.820300333765509	-0.00039347946501939096	0.00024890899658203125
6	800	0.01360794720226121	0.37774273870907565	0.017854508920958738	0.8578694819828959	-0.00039347946501939096	0.0002446174621582031
7	2500	0.02124006446941279	0.3389680119654897	0.014511838724968924	0.2496541323957249	-0.00039347946501939096	0.00024056434631347656
8	600	0.024183644674287803	0.48787820684393	0.021685925777915525	0.4521830357567921	-0.00039347946501939096	0.00024890899658203125
9	800	0.022814020874944427	0.10313604176461649	0.019803619786558875	0.16415128761910452	-0.00039347946501939096	0.00024771690368652344
