	num_particles	process_std	vel_std	measurement_std	res_g	rotflip_const	mean_test_score	mean_score_time
29	3000	0.02	0.15	0.02	0.4	0.05	-0.0037095887696303132	1.6472821235656738
9	600	0.02	0.05	0.02	0.75	0.05	-0.003709994983397134	0.5131800174713135
4	600	0.02	0.1	0.02	0.4	0.05	-0.003710494838752439	0.5444648265838623
35	3000	0.02	0.15	0.02	0.75	0.05	-0.0037119116861644244	1.5185973644256592
28	3000	0.02	0.1	0.02	0.4	0.05	-0.003713234502714405	1.548893928527832
44	3000	0.025	0.15	0.02	0.5	0.05	-0.0037134859879696456	1.4388620853424072
10	600	0.02	0.1	0.02	0.75	0.05	-0.0037140731415715895	0.5197513103485107
5	600	0.02	0.15	0.02	0.4	0.05	-0.0037147274715161435	0.5387928485870361
32	3000	0.02	0.15	0.02	0.5	0.05	-0.003715044984842324	1.6626121997833252
41	3000	0.025	0.15	0.02	0.4	0.05	-0.0037152009660581407	1.4665029048919678
27	3000	0.02	0.05	0.02	0.4	0.05	-0.0037160645856632	1.799900770187378
34	3000	0.02	0.1	0.02	0.75	0.05	-0.003716369403917422	1.4651339054107666
46	3000	0.025	0.1	0.02	0.75	0.05	-0.003716890402369925	1.4770123958587646
40	3000	0.025	0.1	0.02	0.4	0.05	-0.003717210667923922	1.4914569854736328
39	3000	0.025	0.05	0.02	0.4	0.05	-0.0037172171880141477	1.4863293170928955
0	600	0.02	0.05	0.02	0.2	0.05	-0.003718225728216727	0.5533380508422852
37	3000	0.025	0.1	0.02	0.2	0.05	-0.003718364303183912	1.3997724056243896
6	600	0.02	0.05	0.02	0.5	0.05	-0.0037187609065780446	0.5381870269775391
45	3000	0.025	0.05	0.02	0.75	0.05	-0.003718865693367685	1.466963768005371
26	3000	0.02	0.15	0.02	0.2	0.05	-0.003719045208792331	1.5004100799560547
30	3000	0.02	0.05	0.02	0.5	0.05	-0.0037190919797297616	1.5164868831634521
22	600	0.025	0.1	0.02	0.75	0.05	-0.0037194701561898405	0.5547595024108887
33	3000	0.02	0.05	0.02	0.75	0.05	-0.003719830286667821	1.4811341762542725
42	3000	0.025	0.05	0.02	0.5	0.05	-0.003720084527342786	1.4812264442443848
18	600	0.025	0.05	0.02	0.5	0.05	-0.003721357359034525	0.54830002784729
43	3000	0.025	0.1	0.02	0.5	0.05	-0.003721525107344585	1.42885422706604
1	600	0.02	0.1	0.02	0.2	0.05	-0.0037218640965072233	0.5409104824066162
24	3000	0.02	0.05	0.02	0.2	0.05	-0.0037221054620621766	1.4630568027496338
19	600	0.025	0.1	0.02	0.5	0.05	-0.0037225310877981458	0.5376279354095459
25	3000	0.02	0.1	0.02	0.2	0.05	-0.0037227458968129286	1.5091843605041504
36	3000	0.025	0.05	0.02	0.2	0.05	-0.0037250614260581306	1.4638025760650635
15	600	0.025	0.05	0.02	0.4	0.05	-0.003725342980706789	0.5373983383178711
31	3000	0.02	0.1	0.02	0.5	0.05	-0.003726045016419849	1.5256409645080566
21	600	0.025	0.05	0.02	0.75	0.05	-0.0037262076011784252	0.5360226631164551
3	600	0.02	0.05	0.02	0.4	0.05	-0.0037267986790145025	0.5536375045776367
47	3000	0.025	0.15	0.02	0.75	0.05	-0.003726837329772801	1.5067453384399414
12	600	0.025	0.05	0.02	0.2	0.05	-0.003729385896824773	0.5253565311431885
2	600	0.02	0.15	0.02	0.2	0.05	-0.0037327903656325595	0.5412721633911133
13	600	0.025	0.1	0.02	0.2	0.05	-0.0037340830888896934	0.5337834358215332
38	3000	0.025	0.15	0.02	0.2	0.05	-0.003734650040003764	1.4828505516052246
16	600	0.025	0.1	0.02	0.4	0.05	-0.003738076788762916	0.5384430885314941
8	600	0.02	0.15	0.02	0.5	0.05	-0.0037409883749860884	0.6191513538360596
20	600	0.025	0.15	0.02	0.5	0.05	-0.003741288926784247	0.5420069694519043
7	600	0.02	0.1	0.02	0.5	0.05	-0.003741933227813855	0.5551407337188721
23	600	0.025	0.15	0.02	0.75	0.05	-0.0037435735853483905	0.5504286289215088
11	600	0.02	0.15	0.02	0.75	0.05	-0.0037457001420240117	0.5528221130371094
14	600	0.025	0.15	0.02	0.2	0.05	-0.0037472771768747018	0.5401339530944824
17	600	0.025	0.15	0.02	0.4	0.05	-0.003752571672018379	0.5538008213043213
